No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
186,Guide,SI,"Comment gérer les logiciels dont j'ai besoin ?

","Une partie des logiciels dont les étudiant·e·s ont besoin dans le cadre de leurs études sont fournis par le service informatique de la HES-SO Fribourg selon une procédure ad hoc. D’autres logiciels (principalement les logiciels propres aux métiers) sont distribués par les services informatiques des unités (SIU) propre à chaque filière de la HEIA. Selon les termes de la loi sur les droits d’auteur, toute distribution ou revente de ces logiciels à des tiers, et toute utilisation desdits logiciels à des fins non académiques sont strictement interdites.

Plus d'informations sur les logiciels distribués par le service informatique la HES-SO Fribourg : https://confluence.hefr.ch/x/BYJbAg
","Wie bekomme ich die Software, die ich für das Studium brauche?","Einige der notwendigen Programme erhalten die Studierenden vom Informatikdienst der HES-SO Freiburg. Weitere und vor allem fachspezifische Software wird vom Informatikdienst der Einheit (IDE) des jeweiligen Studiengangs der HTA-FR bereitgestellt. Gemäss Bestimmungen des Urheberrechts ist jede Weitergabe und jeder Weiterverkauf dieser Programme an Dritte sowie jede Nutzung zu nichtakademischen Zwecken streng verboten.

Mehr Informationen zu den vom Informatikdienst der HES-SO Freiburg bereitgestellten Programme > https://confluence.hefr.ch/x/BoRbAg",HEIA; HES-SO//FR; HEG; HEDS; HETS,"Infrastructure
Formation"
188,Guide,SI,Quel logiciel de bureautique est l'outil officiel d'édition utilisé lors de ma formation ?,"Pour la rédaction, l’outil officiel d’édition est la suite bureautique « Microsoft Office ». Ce programme est mis à disposition gratuitement. Les étudiant·e·s qui utilisent d’autres programmes ne bénéficient pas du support du HelpDesk.

Plus d'infos ici : https://confluence.hefr.ch/x/1IRbAg
(en allemand : https://confluence.hefr.ch/x/U5VbAg)",Was ist die für die Ausbildung an der HTA-FR verwendete offizielle Text- und Datenverarbeitungssoftware?,"Die offizielle Bürosoftware für das Verfassen von Arbeiten, Berichten usw. ist Microsoft Office. Dieses Softwarepaket steht kostenlos zur Verfügung. Studierende, die andere Programme verwenden, erhalten keinen Support vom HelpDesk.  

Mehr dazu > https://confluence.hefr.ch/x/U5VbAg",HEIA,"Infrastructure
Formation"
189,Guide,SI,Quelles sont les règles de sécurité et risque sur Internet ?,"La HES-SO Fribourg demande à tous les utilisateurs et utilisatrices se connectant sur le réseau de la Haute école, avec n’importe quel équipement, de suivre les règles de sécurité et d’appliquer les mesures standards de comportement, présentées sur https://www.melani.admin.ch. 
",Was sind die Sicherheitsrisiken und Regeln bei der Internetnutzung?,"Die HES-SO//Freiburg fordert alle, die sich mit einem Gerät mit dem Netz der Hochschule verbinden, dazu auf, die unter https://www.melani.admin.ch angegebenen Sicherheits- und Verhaltensregeln zu befolgen.

",HEIA,"Infrastructure
Formation"
191,Guide,SACAD,"HELP - Service de conseil psychologique et social, qu’est-ce que c’est ? Comment puis-je le contacter ?","Pour toute question liée à la santé et à la sécurité des personnes, à savoir lors de problèmes physiques, psychiques et sociaux, mais également en cas de harcèlement sexuel, vous pouvez vous adresser à :

HELP 
Domingas Ribeiro et Marco Matrascia  
Route des Arsenaux 16a
1700 Fribourg
1er étage – Bureau 1.03 

L’accès au bureau se fait sur appel téléphonique. +41 26 429 60 60 
help@hefr.ch, https://www.hefr.ch/fr/hesso-fr/conseils/help-soutien-psychosocial/ 

Pour des consultations de santé, le Cosamo est à votre disposition.  https://www.heds-fr.ch/fr/ecole/cosamo/
",Was ist «HELP – psychologische und soziale Beratung»? Wie kann ich HELP kontaktieren?,"Bei Fragen zu Gesundheit und Sicherheit, d. h. bei körperlichen, psychischen und sozialen Problemen, sowie bei sexueller Belästigung können Sie sich an folgende Stelle wenden: 

HELP 
Domingas Ribeiro und Marco Matrascia  
Route des Arsenaux 16a
1700 Freiburg
1. Stockwerk – Büro 1.03 

Terminvereinbarung per Telefon: +41 26 429 60 60 
help@hefr.ch; https://www.hefr.ch/de/hesso-fr/beratung/help-psychosoziale-unterstuetzung/

Bei Gesundheitsfragen können Sie sich an die CoSaMo (Gesundheitssprechstunde Mozaïk) wenden.
https://www.heds-fr.ch/de/die-hochschule/cosamo/",HEIA,Formation
192,Guide,SI,Quels sont les services qui me sont proposés sur l'Intranet ?,"Vous pouvez y retrouver les documents officiels, l'intégralité des logos HEIA-FR ainsi que les petites annonces.",Was finde ich auf dem Intranet?,"Auf dem Intranet finden Sie die offiziellen Dokumente, alle Logos der HTA-FR sowie die Kleinanzeigen.",HEIA,Formation
193,Guide,SCOM,Où puis-je trouver les logos de la HEIA-FR et de la HES-SO ?,"L’intégralité des logos de la HEIA-FR, de la HES-SO ou d’autres documents officiels sont disponibles sous l’onglet « Identité visuelle et logos » sur le site Intranet. Ces données sont à utiliser lors de l’élaboration de travaux de semestre et de projets en général.",Wo finde ich die Logos der HTA-FR und der HES-SO?,Alle Logos der HTA-FR und der HES-SO sowie andere offizielle Dokumente bzw. Vorlagen sind auf dem Intranet unter der Registerkarte „Visuelle Identität und Logos“ verfügbar. Diese sind bei der Erstellung von Semesterarbeiten und allgemein bei Projektarbeiten zu verwenden. ,HEIA,Formation
194,Guide,SACAD,Où puis-je publier des petites annonces ?,"Des petites annonces (hormis celles à but commercial) peuvent être publiées et consultées sur l’intranet de la HES-SO Fribourg par les étudiant·e·s et le personnel.
https://ged.hefr.ch/petites_annonces",Wo kann ich Kleinanzeigen platzieren?,"Nichtkommerzielle Kleinanzeigen können von Studierenden und Dozierenden auf dem Intranet der HES-SO//Freiburg veröffentlicht und konsultiert werden.
https://ged.hefr.ch/petites_annonces",HEIA,Formation
195,Guide,SI,Où puis-je faire part de mes propositions d'amélioration ?,"Chaque collaborateur-trice et étudiant-e participe activement à l'amélioration du fonctionnement de la HEIA en annonçant tout dysfonctionnement ou en soumettant ses propositions d'amélioration et idées à Laurent Donato, responsable qualité.",Wie kann ich meine Verbesserungsvorschläge unterbreiten?,"Alle Mitarbeiter-innen und Studierenden können sich aktiv daran beteiligen, den Betrieb der HEIA zu verbessern, indem sie sich mit der Meldung von Missständen, Verbesserungsvorschlägen und Ideen an Laurent Donato, Qualitätsmanager, wenden.",HEIA,"Amélioration
Communication"
196,Guide,SACAD,Y a-t-il un service de crèche à ma disposition ?,"Depuis 2008, la crèche Pérollino permet au personnel et aux étudiant·e·s de concilier vie familiale et vie (pré-)professionnelle. Les tarifs sont dégressifs selon le revenu. Ce service est ouvert aux étudiant·e·s dans la limite des places disponibles. 

Crèche Pérollino 
Route des Arsenaux 16 
1705 Fribourg 
http://www.perollino.ch",Steht den Studierenden ein Kinderkrippendienst zur Verfügung?,"Seit 2008 hilft die Kinderkrippe Perollino den Mitarbeitenden und Studierenden der HES-SO//FR, Familie und Beruf bzw. Studium besser zu vereinbaren. Die Tarife sind einkommensabhängig. Die Studierenden können den Krippendienst im Rahmen der verfügbaren Plätze  in Anspruch nehmen.

Krippe Perollino
Route des Arsenaux 16
1700 Freiburg
http://www.perollino.ch",HEIA,Formation
198,Guide,SACAD,Comment puis-je profiter de l'offre d'activités du service du sport de l'Université de Fribourg?,"L'inscription est possible dès la rentrée académique via le site web : 
http://www3.unifr.ch/sportuni

Les étudiant·e·s bénéficient du soutien financier de la HEIA-FR, qui paie la moitié des coûts. La taxe annuelle se monte ainsi à CHF 75.–. Certaines disciplines sont soumises à un supplément. Lors de la première inscription un montant de CHF 30.– est perçu pour recevoir une « Campus Card » personnelle. Cette carte sert de contrôle d’accès aux installations sportives.
",Wie kann ich das Sportangebot der Universität Freiburg nutzen?,"Die Einschreibung ist ab Studienjahrbeginn über die Website http://www3.unifr.ch/sportuni möglich.


Die HTA-FR übernimmt die Hälfte der Kosten, somit beträgt die Jahresgebühr noch CHF 75.–. Für bestimmte Sportarten können Mehrkosten entstehen. Bei der ersten Einschreibung wird eine Gebühr von CHF 30.– für die „Campus Card“ erhoben. Diese Karte ist für die Zugangskontrolle zu den Sportanlagen bestimmt.",HEIA,"Infrastructure
Formation"
199,FAQ,SACAD,Y a-t-il un restaurant au sein de l'école et où puis-je trouver des informations à ce sujet ?,"Oui, le restaurant self-service au rez-de-chaussée du bâtiment A accueille étudiant·e·s et personnel pour le repas de midi et les pauses.
Les menus de la semaine et les prix sont publiés sur le site web :
https://heia-fr.sv-restaurant.ch/fr/plan-des-menus/
Heures d’ouverture : lundi – vendredi, 7h15-16h15
",Gibt es an der HTA-FR ein Restaurant? Wo finde ich diesbezügliche Infos?,"Ja, das Selbstbedienungsrestaurant befindet sich im Erdgeschoss von Gebäude A und steht den Studierenden und Mitarbeitenden für Mittagessen und Pausen zur Verfügung. 
Der Menüplan der Woche und die Preise sind auf der Website verfügbar:
https://heia-fr.sv-restaurant.ch/fr/plan-des-menus/
Öffnungszeiten: Montag bis Freitag, 7.15 bis 16.15 Uhr
",,
202,Guide,SACAD,Quels sont les frais d'une formation Bachelor à la HEIA-FR?,"Taxe d'inscription CHF 150.-- 
Paiement unique, non remboursable, perçue au moment du dépôt du dossier.
Taxe d'écolage CHF 500.– 
Paiement semestriel pour tout·e étudiant·e immatriculé·e, indépendamment du lieu de domicile et du nombre de crédits suivis. Ce montant peut être réduit à CHF 150.– pour un·e étudiant·e au bénéfice d’un congé semestriel.
Participation aux coûts d'exploitation des installations informatiques 100.– 
Paiement semestriel, sauf pour les étudiant·e·s étant en congé ou en échange.
Frais de matériel et d'excursion 
CHF 3'000.– pour une formation complète ou CHF 500.– par semestre. Ces frais varient fortement en fonction du semestre et de la filière choisie.

Ces montants ne sont pas remboursables et ne prennent pas en compte l'achat d'un ordinateur portable obligatoire.","Was kostet die Bachelorausbildung an der HTA-FR?
","Anmeldegebühr: CHF 150.–
Einmalig, fällig bei der Einschreibung; wird nicht zurückerstattet.
Studiengebühr: CHF 500.– pro Semester
Für alle eingeschriebenen Studierenden, unabhängig von Wohnort und Anzahl belegter Kurse. Für Studierende mit Semesterurlaub kann dieser Betrag auf CHF 150.– reduziert werden.
Beitrag an die Informatikkosten: CHF 100.– pro Semester
Ausgenommen Urlaubssemester und Austauschsemester
Material- und Exkursionskosten
CHF 3000.– für die ganze Ausbildung oder CHF 500.– pro Semester. Diese Kosten können je nach Studiengang und Semester sehr unterschiedlich ausfallen.

Diese Beträge werden nicht zurückerstattet. Nicht inbegriffen sind die Anschaffungskosten für einen Laptop (Alle Studierenden müssen im Besitz eines Laptops sein.). ",HEIA,Formation
203,Guide,SACAD,Quels sont les frais de formation pour les auditeurs ou auditrices ? ,"Taxe d'inscription 50.–  taxe d'inscription semestrielle
Taxe d'écolage CHF 30.– paiement par période horaire hebdomadaire et par semestre, mais au minimum CHF 150.– par semestre 

Ces montants ne sont pas remboursables. L'écolage et la taxe d'inscription sont dus en totalité même si l'étudiant·e n'effectue qu'une partie du programme.","Welche Gebühren fallen für Gasthörerinnen und -hörer an?
","Anmeldegebühr: CHF 50.– pro Semester
Studiengebühr: CHF 30.– pro wöchentliche Unterrichtseinheit und pro Semester, mindestens jedoch CHF 150.-  pro Semester

Diese Beträge werden nicht zurückerstattet. Die Studien- und Anmeldegebühren müssen vollständig bezahlt werden, auch wenn nur ein Teil des Programms besucht wird.",HEIA,Formation
204,Guide,SACAD,Quels sont les frais de formation de l'ETC ?,"Taxe d'inscription CHF 150.– 
Paiement unique, non remboursable, perçue au moment du dépôt du dossier. 
Taxe d'examen CHF 100.-- 
Paiement unique 
Taxe d'écolage semestres 1, 2, 5 et 6 CHF 500.– 
Paiement semestriel 
Taxe d'écolage semestres 3 et 4 CHF 150.– 
Paiement semestriel (durant le stage en entreprise) 
Participation aux coûts d'exploitation des installations informatiques CHF 100.– 
Paiment semestriel pour les semestres 1,2, 5 et 6. 
Frais de matériel et d'excursion CHF 3'000.– pour une formation complète ou CHF 500.– par semestre. Ces frais peuvent varier.

Ces montants ne sont pas remboursables et ne prennent pas en compte l'achat d'un ordinateur portable obligatoire.","Welche Kosten fallen für die Ausbildung an der BTS an?
","Anmeldegebühr: CHF 150.–
Einmalig, fällig bei der Einschreibung; wird nicht zurückerstattet.
Prüfungsgebühr: CHF 100.–
Einmalig
Studiengebühren Semester 1, 2, 5 und 6: CHF 500.– pro Semester
Studiengebühren Semester 3 und 4 (während des Praktikums): CHF 150.– pro Semester
Beitrag an die Informatikkosten Semester 1, 2, 5 und 6: CHF 100.– pro Semester
Material- und Exkursionskosten: CHF 3000.– für die ganze Ausbildung oder CHF 500.– pro Semester. Diese Kosten können variieren.

Diese Beträge werden nicht zurückerstattet. Nicht inbegriffen sind die Anschaffungskosten für einen Laptop (Alle Studierenden müssen im Besitz eines Laptops sein.). ",HEIA,Formation
205,Guide,SACAD,Quels sont les frais de formation pour les étudiant·e·s en provenance de l'étranger ?,"Le coût de la vie est particulièrement élevé en Suisse. Pour couvrir ses frais courants (nourriture, habillement, logement, santé, loisirs, etc.), un·e étudiant·e doit disposer d’un budget annuel d’environ CHF 22'000.–. La HEIA-FR n’alloue aucun subside. Plus d'infos : go.heia-fr.ch/brochure-candidature-etrangeres
https://www.heia-fr.ch/media/lrqkr5gd/brochure-candidatures-%c3%a9trang%c3%a8res_2021-2022_f.pdf","Was sind die Ausbildungskosten für Studierende aus dem Ausland?
","Die Lebenshaltungskosten sind in der Schweiz sehr hoch. Zur Deckung der laufenden Kosten (Verpflegung, Kleidung, Wohnen, Krankenkasse, Freizeit usw.) müssen die Studierenden mit etwa CHF 22‘000.– pro Jahr rechnen. Die HTA-FR vergibt keine Ausbildungsstipendien.  
Mehr dazu > go.heia-fr.ch/brochure-candidature-etrangeres",HEIA,Formation
206,,SACAD,Où puis-je trouver des aides financières cantonales ou communales ?,"Chaque étudiant·e peut adresser une requête dans son canton de domicile ou dans celui de ses parents ou représentant·e légal·e.
Dans le cas du canton de Fribourg, cette demande se fait au moyen d’un formulaire ad hoc, disponible au Service des subsides de formation.

Direction de la formation et des affaires culturelles
Service des subsides de formation SSF 
Rue St-Pierre Canisius 12 
Case postale 
1701 Fribourg 
+41 26 305 12 51 
http://www.fr.ch/ssf/fr/pub/index.cfm

Certaines communes accordent des aides financières de formation. L’étudiant·e se renseigne auprès de sa commune de domicile.
","Wie muss ich vorgehen, um von Kanton oder Gemeinde eine finanzielle Unterstützung zu erhalten?","Die Studierenden können in ihrem Wohnkanton oder im Wohnkanton der Eltern oder der gesetzlichen Vertretung ein Stipendiengesuch einreichen. 
Im Kanton Freiburg wird das Gesuch mittels Formular gestellt, das beim Amt für Ausbildungsbeiträge erhältlich ist.

Direktion für Bildung und kulturelle Angelegenheiten
Amt für Ausbildungsbeiträge ABBA
Rue St-Pierre Canisius 12
Postfach
1700 Freiburg
+41 26 305 12 51
https://www.fr.ch/de/eksd/abba

Manche Gemeinden bieten eine finanzielle Unterstützung für Ausbildungen an. Die Studierenden können sich diesbezüglich direkt bei ihrer Wohngemeinde erkundigen.
",,
208,Guide,SACAD,Puis-je avoir accès à des aides financières au moyen de prêts bancaires ?,"Certaines banques proposent des prêts de formation. Les conditions varient d’une banque à l’autre, tant pour le remboursement que pour le dossier à présenter.","Ist es möglich, finanzielle Unterstützung in Form eines Bankdarlehens zu erhalten?","Einige Banken bieten Ausbildungsdarlehen an. Die Bedingungen, etwa bezüglich Rückzahlung, sind je nach Bank unterschiedlich.",HEIA,Formation
209,Guide,SACAD,Comment puis-je bénéficier d'allocations et/ou de rentes ?,"Selon les cas, certain·e·s étudiant·e·s peuvent bénéficier d’allocations ou de rentes. Les allocations familiales concernent les étudiant·e·s en formation jusqu’à leurs 25 ans révolus et dont les parents sont salariés. Ce versement se fait sur la base d’une attestation de formation délivrée par la HEIA-FR à chaque début de semestre.
Les étudiant·e·s qui reçoivent une rente d’orphelin·e ou une rente complémentaire (l’un des parents ayant droit à une rente AVS ou AI) peuvent en bénéficier jusqu’au terme de leurs études ou jusqu’à 25 ans révolus.",Erhalte ich Zulagen und/oder Renten?,"In manchen Fällen gibt es Zulagen oder Renten. Für Studierende, deren Eltern erwerbstätig sind, werden bis zum vollendeten 25. Altersjahr Familienzulagen gewährt. Diese Zulagen werden auf Vorweisen der von der HTA-FR jeweils zu Semesterbeginn ausgestellten Ausbildungsbestätigung ausgerichtet. 
Studierende, die eine Waisen- oder (wenn ein Elternteil eine AHV- oder IV-Rente bezieht) eine Zusatzrente erhalten, können diese ebenfalls bis zum Ende ihrer Ausbildung oder bis zum vollendeten 25. Altersjahr beziehen.",HEIA,Formation
210,Guide,SACAD,Comment puis-je bénéficier de rabais étudiant·e·s ?,"De nombreux établissements de Fribourg, comme certains restaurants, librairies, instituts de sport ou même salons de coiffure offrent des prix avantageux pour les étudiant·e·s sur présentation de leur carte. 
Voir aussi les bons plans de la HES-SO : 
go.heia-fr.ch/HES-SO/bons-plans",Wie kann ich von Studierendenrabatten profitieren?,"Gegen Vorweisen der Studierendenkarte profitieren Sie von vielen Vorteilen, so erhalten Sie etwa Rabatte in manchen Restaurants, Buchhandlungen, Fitnessstudios und Coiffeursalons.
Weitere praktische Tipps > https://www.hes-so.ch/de/praktische-tipps-375.html",HEIA,Formation
211,Guide,SACAD,Comment bien gérer mon budget ?,"Afin que les études se déroulent harmonieusement, il est important de savoir gérer son budget. La Fédération romande des consommateurs édite une brochure intitulée « Budget » et son service de conseil renseigne également sur les assurances et les services. 

FRC Fribourg 
Rue Saint-Pierre 2 
Case postale 553 
1701 Fribourg 
+41 26 322 28 07 
(2e étage, entrée FIDAF) 
fribourg@frc.ch 
https://www.frc.ch/a-propos/pres-de-chez-vous/fribourg/",Wie halte ich mein Budget im Griff?,"Damit das Studium möglichst frei von Geldsorgen absolviert werden kann, ist es wichtig, sein Budget im Griff zu haben. Der Westschweizer Konsumentenverband „Fédération romande des consommateurs“ gibt eine Broschüre zum Thema Budgetplanung heraus und bietet Beratung im Bereich Versicherungen usw. an.

FRC Fribourg
Rue Saint-Pierre 21
Postfach 553
1701 Freiburg
+41 26 322 28 07
(2. Stock, Eingang FIDAF)
fribourg@frc.ch
https://www.frc.ch/a-propos/pres-de-chez-vous/fribourg/",HEIA,Formation
212,Guide,SACAD,Dans quelles langues sont dispensés les cours ?,La HEIA-FR est une Haute école bilingue français-allemand. Elle propose un cursus bilingue et un autre majoritairement en français avec quelques cours en allemand. Cette ouverture linguistique est un atout incontestable dans la vie professionnelle. L’emploi des différentes langues se fait de manière flexible. Des mesures accompagnatrices sont proposées pour ces cours.,In welchen Sprachen findet der Unterricht statt?,"Die HTA-FR ist eine zweisprachige Hochschule (Deutsch/Französisch). Die Studierenden können zwischen einem zweisprachigen Studium und einem Studium auf Französisch, mit einzelnen Kursen auf Deutsch wählen. Kenntnisse einer zweiten Landessprache sind heute ein wichtiger Pluspunkt auf dem Arbeitsmarkt. Die zwei Sprachen werden flexibel verwendet. Für die betroffenen Kurse werden begleitende Massnahmen angeboten.",HEIA,Formation
213,Guide,SACAD,Quels sont les avantages d'un cursus bilingue ?,Les ingénieur·e·s et les architectes bilingues français-allemand sont de plus en plus recherché·e·s sur le marché du travail. Le Bachelor bilingue élargit considérablement les perspectives professionnelles.,Welche Vorteile bringt ein zweisprachiges Studium mit sich?,Zweisprachige Ingenieure und Architektinnen (F/D) sind auf dem Arbeitsmarkt immer stärker gefragt. Der zweisprachige Bachelorabschluss erweitert ganz erheblich die beruflichen Perspektiven.,HEIA,Formation
214,Guide,SACAD,Comment fonctionne le cursus bilingue ?,"Dans toutes les filières (à l’exception de l’ETC) on peut s’inscrire pour le cursus bilingue. Le cursus bilingue consiste en environ 2/3 des cours en français et 1/3 en allemand (v. règlement de la HES-SO). Le plan d’études pour les classes bilingues définit quel cours est dispensé dans quelle langue.
Les classes bilingues sont composées d’étudiant·e·s francophones, germanophones et italophones, favorisant ainsi les échanges culturels.",Wie funktioniert das zweisprachige Studium?,"In allen Studiengängen (ausgenommen BTS) ist es möglich, sich für ein zweisprachiges Studium einzuschreiben, das zu etwa zwei Dritteln auf Französisch und zu einem Drittel auf Deutsch zu absolvieren ist (siehe Reglement der HES-SO). In den zweisprachigen Ausbildungsprogrammen der Studiengänge wird festgelegt, welche Kurse auf Französisch bzw. auf Deutsch stattfinden.",HEIA,Formation
215,Guide,SACAD,Quelles sont les conditions d'admission pour suivre les cours bilingues ?,"Il n’est pas nécessaire d’être bilingue au début des études. Les compétences d'allemand pour les filières d'ingénierie devraient se situer au minimum au niveau B1.
https://rm.coe.int/168045bb57
Toutefois, le niveau minimum de B2 est demandé en allemand en cas d'inscription dans le cursus bilingue de la filière d'architecture. Il est également important d’être ouvert à la culture partenaire et de faire preuve d’une grande motivation.",Was sind die Zulassungsbedingungen für ein zweisprachiges Studium?,"Es ist nicht erforderlich, beim Studienantritt zweisprachig zu sein. Die Französischkenntnisse sollten für ein Studium im Ingenieurwesen mindestens auf dem Niveau B1 liegen. 
https://rm.coe.int/168045bb57
Für die Anmeldung zum zweisprachigen Studium in Architektur müssen die Französischkenntnisse allerdings mindestens auf dem Niveau B2 liegen. Zudem braucht es Aufgeschlossenheit gegenüber der Partnerkultur sowie eine grosse Motivation.",HEIA,Formation
216,Guide,SACAD,Quel est le titre délivré en cas de cursus bilingue ?,"Pour les filières d'ingénierie : Bachelor of Sciences HES-SO, mention bilingue
Pour la filière d'architecture : Bachelor of Arts HES-SO, mention bilingue",Welcher Titel wird beim Abschluss eines zweisprachigen Studiums erworben?,"Für die Ingenieurstudiengänge: Bachelor of Sciences HES-SO, Vermerk „zweisprachig“
Für den Studiengang Architektur: Bachelor of Arts HES-SO, Vermerk „zweisprachig“",HEIA,Formation
217,Guide,SACAD,Quelles sont les conditions à réunir pour obtenir un Bachelor HES-SO bilingue ?,"Au minimum un tiers des crédits en allemand sur trois ans sont nécessaires, en plus des conditions de la HES-SO pour l’obtention de la mention bilingue.
go.heia-fr.ch/bilinguisme/reglement-HES-SO","Welche Bedingungen müssen erfüllt sein, um einen zweisprachigen Bachelorabschluss HES-SO zu erwerben?","Es gelten die Bedingungen der HES-SO; mindestens ein Drittel der Credits des gesamten Bachelorstudiums müssen in deutscher Sprache erworben werden. 
go.hta-fr.ch/zweisprachigkeit/reglement-HES-SO",HEIA,Formation
218,Guide,SACAD,Quelles sont les mesures mises en place par la HEIA-FR pour m'encadrer lors de mes études bilingues ?,"Afin d’encadrer au mieux les étudiant·e·s, la HEIA-FR dispose de différents moyens : 
- En cas de besoin : cours d’allemand technique en 1ère année
- Cours préparatoire d’allemand intensif de trois semaines avant la rentrée (facultatif) 
- UniTandem (go.heia-fr.ch/unitandem)",Welche Unterstützungsangebote stehen zweisprachig Studierenden zur Verfügung?,"Folgende Unterstützungsangebote stehen zweisprachig Studierenden zur Verfügung:  
– Bei Bedarf: technisch orientierte Französischkurse im 1. Studienjahr
– Freiwilliger Intensivkurs Französisch: 3 Wochen vor Studienbeginn
– UniTandem (go.heia-fr.ch/unitandem)",HEIA,Formation
219,Guide,SACAD,Quelle est la personne de contact pour toutes mes questions relatives au bilinguisme ?,"Helga Grossmann, répondante bilinguisme 
Bureau C30.21 
+41 26 429 67 35 
helga.grossmann@hefr.ch 
go.heia-fr.ch/bilinguisme",An wen kann ich mich bei Fragen zum zweisprachigen Studium wenden?,"Helga Grossmann, Beauftragte für Zweisprachigkeit
Büro C30.21
+41 26 429 67 35
helga.grossmann@hefr.ch 
go.hta-fr.ch/zweisprachigkeit",HEIA,Formation
220,Guide,SACAD,Comment puis-je obtenir un certificat de langue de niveau B2 ou C1 en anglais et en allemand ?,"En collaboration avec telc, partenaire agréé, la HEIA-FR offre la possibilité d’obtenir des certificats de langue de niveau B2 ou C1 (cadre européen commun de référence pour les langues https://rm.coe.int/168045bb57) en anglais et en allemand. La Haute école prend en charge l’organisation des examens ainsi qu’une partie des frais d’examen. En cas d’intérêt, prière de s’adresser aux enseignant·e·s des langues correspondantes.",Wie kann ich ein Sprachenzertifikat B2 oder C1 in Englisch oder Deutsch erlangen?,"Die HTA-FR bietet in Zusammenarbeit mit dem Lizenzpartner telc die Möglichkeit, ein Sprachenzertifikat B2 oder C1 in Englisch oder Deutsch zu erlangen (Gemeinsamer Europäischer Referenzrahmen für Sprachen (D: https://www.heia-fr.ch/media/4lkbr2ki/cefr-de.pdf ; I: https://www.heia-fr.ch/media/w3adfqdv/cefr-it.pdf). Die Schule übernimmt die Organisation der Prüfungen sowie einen Teil der Prüfungsgebühr. Bei Interesse wenden Sie sich bitte an die Lehrpersonen der Sprachkurse.",HEIA,Formation
221,Guide,SACAD,"Pourquoi devrais-je faire une partie du Bachelor à l'étranger ?
","La HES-SO encourage les étudiant·e·s à effectuer une partie de leurs études à l’étranger. Afin de développer les échanges d’étudiant·e·s et les collaborations établies, la HEIA-FR a signé des accords bilatéraux avec différents établissements et universités au niveau international. Personne de contact : 
Natascia Kyburz, natascia.kyburz@hefr.ch",Kann ich einen Teil der Bachelorausbildung im Ausland absolvieren?,"Die HES-SO ermutigt die Studierenden dazu, einen Teil ihres Studiums im Ausland zu absolvieren. Die HTA-FR hat mit verschiedenen Instituten und Universitäten weltweit bilaterale Verträge abgeschlossen, damit die Zusammenarbeit und die Austauschprogramme ausgebaut werden können. Kontaktperson: Natascia Kyburz, natascia.kyburz@hefr.ch",HEIA,Formation
222,Guide,SACAD,Où puis-je trouver des soutiens si je souhaite faire une partie de mon Bachelor à l'étranger ?,"SEMP
Dans le cadre d’Erasmus+ (2014-2020) de l’Union européenne, le Swiss-European Mobility Programme (SEMP) offre aux établissements d'enseignement tertiaire la possibilité de soutenir financièrement les étudiant·e·s pour des séjours d’études ou de stages en Europe. 
go.heia-fr.ch/HES-SO/erasmus 
HES-SO 
Avec plus de 500 partenaires à travers le monde, la HES-SO offre une grande palette de possibilités pour les projets de mobilité. 
go.heia-fr.ch/HES-SO/mobilite 
Académie suisse des sciences techniques SATW 
https://www.satw.ch","Wo finde ich (finanzielle) Unterstützung, wenn ich einen Teil meiner Bachelorausbildung im Ausland absolvieren will?","SEMP
Im Rahmen des EU-Programms Erasmus+ (2014–2020) bietet das Swiss-European Mobility Program (SEMP) finanzielle Unterstützung für Auslandstudien und -praktika in Europa. 
go.heia-fr.ch/HES-SO/erasmus 
HES-SO
Mit weltweit mehr als 500 Partnerinstitutionen bietet die Fachhochschule Westschweiz interessante Möglichkeiten für Mobilitätsprojekte. 
go.hta-fr.ch/HES-SO/mobilitaet
Schweizerische Akademie der Technischen Wissenschaften SATW
https://www.satw.ch",HEIA,Formation
223,Guide,SACAD,Quelles sont les conditions pour effectuer une partie de mon Bachelor à l'étranger ?,"Un séjour à l’étranger nécessite de bons résultats et un bon niveau de compréhension de la langue du pays visé ou de l’anglais. Pour les États-Unis et le Canada, un score suffisant au TOEFL (Test of English as a Foreign Language) est une condition nécessaire pour pouvoir y poursuivre un Bachelor.","Welche Voraussetzungen muss ich erfüllen, um einen Teil meiner Bachelorausbildung im Ausland absolvieren zu können?","Ein Auslandaufenthalt setzt gute Leistungen und ausreichende Kenntnisse der Landessprache oder des Englischen voraus. Wer in den USA oder in Kanada studieren möchte, muss eine ausreichende Punktzahl im TOEFL (Test of English as a Foreign Language) erhalten,  um einen Bachelor zu absolvieren.",HEIA,Formation
